"","UMAP1","UMAP2","Datatype","cell_type"
"Cell288_ref",0.186838218328941,-11.3369520136623,"A",1
"Cell289_ref",-0.464721110538122,-10.5647456519976,"A",1
"Cell290_ref",3.30223939696168,4.59332205057206,"A",2
"Cell291_ref",0.751900019179459,-10.9827529020653,"A",1
"Cell292_ref",-6.01092542809792,1.28440493854197,"A",3
"Cell293_ref",-8.06660251877131,0.297608507067282,"A",3
"Cell294_ref",7.69173724164927,1.81812863645394,"A",2
"Cell295_ref",0.423502557477243,-9.19787002365394,"A",1
"Cell296_ref",4.62234197727374,2.00417141754482,"A",2
"Cell297_ref",6.8991090548519,3.81236589263046,"A",2
"Cell298_ref",7.34807683287684,1.78738987300807,"A",2
"Cell299_ref",0.443765011727049,-9.36511492836522,"A",1
"Cell300_ref",0.154144813616007,-11.6873164167624,"A",1
"Cell1",1.86917122258476,3.3646691131416,"B",2
"Cell2",-5.93317529557857,0.343645031902261,"B",1
"Cell3",8.00301864072822,1.16533462121325,"B",1
"Cell4",7.43957929461333,1.28461814692545,"B",1
"Cell5",2.13096052796593,4.91050251036367,"B",2
"Cell6",-0.100775073314035,1.15211507261252,"B",3
"Cell7",3.3735356289449,3.30357969639424,"B",2
"Cell8",-6.71233438541728,1.3276937831607,"B",1
"Cell9",7.63291187665961,1.8376469545638,"B",1
"Cell10",8.71557953685995,1.47174607714525,"B",1
"Cell11",1.70986533455802,4.02509344079655,"B",2
"Cell12",3.3129027243255,4.1692408772804,"B",2
"Cell13",3.67277558620395,3.36544108167388,"B",2
"Cell14",-9.39541459630572,0.106163615029958,"B",1
"Cell15",-8.52319202866908,1.80739567023423,"B",3
"Cell16",-0.0331920874917229,-0.0913085943010249,"B",3
"Cell17",-6.30850427995201,0.402572914806361,"B",1
"Cell18",8.45225741880643,3.3856868450152,"B",1
"Cell19",2.46914349093419,3.11905317444667,"B",2
"Cell20",-8.36825607521017,-0.131919146837684,"B",1
"Cell21",2.5828919435645,3.25090914360727,"B",2
"Cell22",-7.84809987299026,0.691233529324216,"B",3
"Cell23",1.12551513459193,4.75978374377333,"B",2
"Cell24",-8.63022146860842,0.0406779307425309,"B",1
"Cell25",-9.06490526452422,2.08795654465322,"B",3
"Cell26",-7.08790491045508,1.28402696910952,"B",3
"Cell27",0.269424628537014,3.54059252731508,"B",3
"Cell28",6.76586897910056,3.69530707963357,"B",1
"Cell29",2.70919703762634,3.14138423729735,"B",2
"Cell30",1.63515587273839,4.02975613344136,"B",2
"Cell31",-8.7822948762454,0.077761679726756,"B",1
"Cell32",-9.74253393546834,0.17029990675236,"B",1
"Cell33",-0.4517021795548,2.89062349585519,"B",3
"Cell34",1.96538968746072,3.61712845332884,"B",2
"Cell35",7.03250622342208,1.79155899114755,"B",1
"Cell36",2.07241689903161,4.91157807620309,"B",2
"Cell37",-0.201987833854802,1.17269466176075,"B",3
"Cell38",6.76202576931851,2.65421350695231,"B",1
"Cell39",3.37627987229567,3.17615792981851,"B",2
"Cell40",3.66467458353113,2.99861813682742,"B",2
"Cell41",-0.665025169300362,1.27901901806045,"B",3
"Cell42",-9.14895129885388,2.00031126315831,"B",3
"Cell43",0.214744929387733,0.0823233319355872,"B",3
"Cell44",0.0234150839268754,0.621627256346639,"B",3
"Cell45",5.72757880166986,3.86697304871218,"B",1
"Cell46",3.4127186208463,3.90703467208841,"B",2
"Cell47",-0.360073018266715,3.0498067286215,"B",3
"Cell48",2.19409435283636,4.89031156044537,"B",2
"Cell49",-5.80955546855661,0.160424789494483,"B",1
"Cell50",-0.1907504608101,-0.124385586073511,"B",3
"Cell51",7.45123667874636,2.2641701469727,"B",1
"Cell52",-0.681283813153753,1.56843953457089,"B",3
"Cell53",-0.246659064622832,0.0112781917240072,"B",3
"Cell54",3.30552581122483,3.06546962269601,"B",2
"Cell55",2.2378903541251,4.79077153453323,"B",2
"Cell56",2.28364338950542,4.79454425857184,"B",2
"Cell57",-6.32944148855315,1.42711166968927,"B",1
"Cell58",3.52287327971102,3.10869725343705,"B",2
"Cell59",-0.192567305835209,-0.0958706498552914,"B",3
"Cell60",-0.120952685668465,0.8781712569148,"B",3
"Cell61",-0.26168874664635,0.098735774929654,"B",3
"Cell62",-0.0345206435465577,0.751275633594492,"B",3
"Cell63",3.79906806537072,3.56263313349539,"B",2
"Cell64",0.182616027498379,0.578250329835367,"B",3
"Cell65",6.43399653654548,3.79248446327014,"B",1
"Cell66",-8.12720928595691,2.21474669244906,"B",1
"Cell67",-0.0513292334706553,0.118918040014433,"B",3
"Cell68",1.58847882556185,4.85433156245326,"B",2
"Cell69",3.76711563803581,3.53991240363845,"B",2
"Cell70",2.36993310606955,3.30742244363803,"B",2
"Cell71",7.30266393920328,3.14909361347899,"B",1
"Cell72",8.38445422246737,1.00172427434034,"B",1
"Cell73",3.36054606518112,4.1177862961337,"B",2
"Cell74",0.380439587682593,2.57581102700658,"B",3
"Cell75",-0.340146175105181,3.05449960313725,"B",3
"Cell76",-6.00433740691764,0.274588638346727,"B",1
"Cell77",-7.59139088311521,1.7742475609299,"B",3
"Cell78",1.88194971870083,3.62312286094029,"B",2
"Cell79",1.5769195902136,3.94035409021945,"B",2
"Cell80",0.16516690668803,0.628985551971709,"B",3
"Cell81",7.06540130909348,3.49896309635136,"B",1
"Cell82",3.05346306169622,4.19402094825324,"B",2
"Cell83",-0.35206134078462,3.03066003937462,"B",3
"Cell84",-8.93964759203102,1.74199787241019,"B",3
"Cell85",-9.19268751925351,-0.0212323827662106,"B",1
"Cell86",-5.69702233254319,0.543058512547005,"B",1
"Cell87",-8.03572235313654,1.73790421240323,"B",3
"Cell88",6.41252974658214,1.44200533348685,"B",1
"Cell89",6.8722965786695,1.24808934846076,"B",1
"Cell90",3.79477715416438,3.76053195885577,"B",2
"Cell91",3.07394744058539,2.92974956131591,"B",2
"Cell92",0.342232082065956,3.58110159243377,"B",3
"Cell93",0.31113669085224,2.6045388629585,"B",3
"Cell94",2.39611322800329,3.24434505371714,"B",2
"Cell95",3.72433663715444,2.85469355766172,"B",2
"Cell96",7.06841347284542,3.69442534122085,"B",1
"Cell97",3.45787654508339,3.98386925438989,"B",2
"Cell98",-8.51507904902131,-0.272359393836575,"B",1
"Cell99",1.95152478541287,4.74542065179147,"B",2
"Cell100",-7.84525044690747,1.99460934775104,"B",3
"Cell101",0.554404089178745,-9.37192036691429,"B",3
"Cell102",3.05497706543655,4.54337385860662,"B",2
"Cell103",2.52982008056783,4.54038152279712,"B",2
"Cell104",2.32946649325117,3.2086564812803,"B",2
"Cell105",-6.27611492051879,1.50945900752223,"B",1
"Cell106",8.35335345477678,2.9136196747708,"B",1
"Cell107",-0.434914601793154,2.8906893986141,"B",3
"Cell108",2.04589643691356,4.87644008151668,"B",2
"Cell109",7.71239218368923,1.99368333314045,"B",1
"Cell110",-0.514149967634458,1.00858349871674,"B",3
"Cell111",8.64699441621477,1.49092627329993,"B",1
"Cell112",-7.88908686492242,-0.175270950237724,"B",1
"Cell113",6.87277946363997,2.89786448440343,"B",1
"Cell114",-7.6130272521148,1.49499442427036,"B",3
"Cell115",1.2550846097813,4.82289793844331,"B",2
"Cell116",1.58359256278158,4.83449115623589,"B",2
"Cell117",0.368855036588757,-0.0313826355515783,"B",3
"Cell118",-7.44141390568029,1.39594074459323,"B",3
"Cell119",8.92047060010241,2.14154364617682,"B",1
"Cell120",0.425081189274833,2.56513365785389,"B",3
"Cell121",-0.166217475262609,0.0376202104442864,"B",3
"Cell122",-8.3472977755697,-0.311907268226554,"B",1
"Cell123",2.68534500082442,3.14086181211722,"B",2
"Cell124",0.805091140817245,4.51536340415412,"B",3
"Cell125",0.252331681550601,3.52064046374674,"B",3
"Cell126",3.36326105487089,3.99840390375141,"B",2
"Cell127",0.0418232526849187,0.828715471039566,"B",3
"Cell128",-7.90604917607052,0.130619421933892,"B",1
"Cell129",7.77827273478897,2.2128650628882,"B",1
"Cell130",-0.0413554667030572,0.437712739130898,"B",3
"Cell131",7.46240330738636,1.61422843141848,"B",1
"Cell132",-0.679445553185046,1.42293986803757,"B",3
"Cell133",8.62184370570867,3.14168694047678,"B",1
"Cell134",6.83797254821751,1.47125109113003,"B",1
"Cell135",-6.00555117227451,0.516725465565912,"B",1
"Cell136",-0.653840081662775,1.31312110713084,"B",3
"Cell137",7.0347022750153,1.52664718440872,"B",1
"Cell138",3.25298823955872,3.81011874234577,"B",2
"Cell139",0.468467715732076,2.52734124932626,"B",3
"Cell140",2.20802262048152,4.6644741826191,"B",2
"Cell141",0.147097132896963,0.675407001012296,"B",3
"Cell142",8.03486110315202,3.62354625848171,"B",1
"Cell143",2.22861331953218,3.27505992383261,"B",2
"Cell144",-5.65287011063527,0.100083011304868,"B",1
"Cell145",-0.123823480356295,-0.129395030596918,"B",3
"Cell146",-7.21990369246082,0.811125821491803,"B",1
"Cell147",-7.47970958345183,1.31565027443913,"B",3
"Cell148",-8.64937268902353,-0.0621883310577696,"B",1
"Cell149",1.51388738461147,3.86116132700052,"B",2
"Cell150",3.11912392617563,2.82204100232042,"B",2
"Cell151",6.73569815625789,1.26982350765477,"B",1
"Cell152",-9.72173057600633,0.136077713092126,"B",1
"Cell153",7.34102640194493,2.43946037457301,"B",1
"Cell154",-0.357311668824718,3.08604779384365,"B",3
"Cell155",-0.495010318655342,0.964207730053225,"B",3
"Cell156",2.45982028965854,4.41908837611549,"B",2
"Cell157",-8.02597644378053,-0.101092230698194,"B",1
"Cell158",-9.0694664622371,2.05681939300872,"B",3
"Cell159",0.333879999285114,3.57325083498165,"B",3
"Cell160",1.26494833600009,3.40518617203493,"B",2
"Cell161",7.51491622862032,1.73334257739621,"B",1
"Cell162",4.22632602996506,2.32018631183381,"B",2
"Cell163",3.36769500324,3.16929224884864,"B",2
"Cell164",2.58338148115314,4.62413966271141,"B",2
"Cell165",-8.79864667633601,1.99298580356197,"B",3
"Cell166",7.01980490511296,2.40236325052568,"B",1
"Cell167",0.174074078583721,-0.118877912431432,"B",3
"Cell168",7.21456118812869,2.50164844931508,"B",1
"Cell169",6.3529702764411,3.80773541574751,"B",1
"Cell170",-0.342524558511868,0.578917038449193,"B",3
"Cell171",3.27227320685521,3.31770851481833,"B",2
"Cell172",-6.78875046704655,0.748380541696287,"B",1
"Cell173",3.35594520837995,4.26335148332151,"B",2
"Cell174",-0.324851745080678,0.95510248518503,"B",3
"Cell175",-0.689715119950419,1.57258842440769,"B",3
"Cell176",0.699388107064762,3.4021724737203,"B",2
"Cell177",-5.6920131065547,0.0386155415220891,"B",1
"Cell178",-0.652447369717598,1.28952401667208,"B",3
"Cell179",1.9627430925231,3.96246530531622,"B",2
"Cell180",8.81564812853251,1.71064624390153,"B",1
"Cell181",-0.206417900802935,0.166880689446687,"B",3
"Cell182",-7.42136798077335,0.197596064423357,"B",1
"Cell183",2.32691577920405,4.60866218461788,"B",2
"Cell184",-0.647129087228771,1.65270084262138,"B",3
"Cell185",6.38912051005419,3.81936238351237,"B",1
"Cell186",-5.85786154021862,1.21626430692567,"B",1
"Cell187",-0.126734699391039,0.0930227343916608,"B",3
"Cell188",3.05677698187553,3.25480234095663,"B",2
"Cell189",-9.11438140865271,1.9903460564204,"B",3
"Cell190",-6.09787778969256,0.421369837850095,"B",1
"Cell191",-0.476514387104473,0.360212941602674,"B",3
"Cell192",0.180077180705204,3.36498307255174,"B",3
"Cell193",-9.17564122442912,1.96472972728293,"B",3
"Cell194",-9.6572548011026,0.315166122152329,"B",3
"Cell195",-6.36060641948852,1.01681929196349,"B",1
"Cell196",1.87508948052307,3.75622176203987,"B",2
"Cell197",2.96861240897878,4.1231058137585,"B",2
"Cell198",2.992554496129,4.29833873055677,"B",2
"Cell199",2.07190727733454,3.54754550048742,"B",2
"Cell200",2.50913235267233,3.06008504629772,"B",2
"Cell201",-0.125300712289923,-0.155787001675294,"B",3
"Cell202",-0.106280829197577,0.766420866082543,"B",3
"Cell203",-8.24016492438698,-0.230375358288244,"B",1
"Cell204",7.13180407033042,3.48485578887279,"B",1
"Cell205",7.30934252507349,2.95858253094883,"B",1
"Cell206",1.84576224143427,4.00035301695945,"B",2
"Cell207",-0.462563850964511,2.90684418362367,"B",3
"Cell208",8.65640453317959,1.43321831871187,"B",1
"Cell209",0.415663112516334,2.55765899650087,"B",3
"Cell210",-6.26553710405948,0.569179951093308,"B",1
"Cell211",1.78441545698982,4.13293581370155,"B",2
"Cell212",-9.62927798593226,-0.0528459206412644,"B",1
"Cell213",2.10207776436162,4.26146450487404,"B",2
"Cell214",1.24881609301343,4.81441375349333,"B",2
"Cell215",0.200632803610158,3.44477027796065,"B",3
"Cell216",2.00446662732193,4.22650988949508,"B",2
"Cell217",-0.0527016847394657,-0.159223506932481,"B",3
"Cell218",-7.8255517239793,1.74506526627308,"B",3
"Cell219",7.67030493171783,2.00585627878429,"B",1
"Cell220",1.4642088793813,4.77988019798254,"B",2
"Cell221",6.94985851551913,3.23918714473704,"B",1
"Cell222",-0.627872604122779,1.57798290502053,"B",3
"Cell223",3.41433781848283,4.16000086306429,"B",2
"Cell224",-7.22869685761911,1.28758965876012,"B",3
"Cell225",1.17840605340496,4.89119533266655,"B",2
"Cell226",-5.65176963698925,1.03670446794139,"B",1
"Cell227",7.40078988105053,2.20547500574877,"B",1
"Cell228",7.18168602081092,2.45488835166514,"B",1
"Cell229",2.7480655366222,3.00637233775659,"B",2
"Cell230",1.8604839055981,4.76510765548292,"B",2
"Cell231",7.92908663680618,2.13095424805301,"B",1
"Cell232",0.449731537593255,2.63941978862051,"B",3
"Cell233",0.107699138938383,-0.11736815635981,"B",3
"Cell234",-9.12155544028665,0.628157188715312,"B",1
"Cell235",3.18870657910903,3.23395439835017,"B",2
"Cell236",-8.7316371297134,2.10294669427322,"B",3
"Cell237",-0.13352875153475,-0.0317353888677367,"B",3
"Cell238",0.218417281196638,0.026971909900483,"B",3
"Cell239",3.29573780060989,3.01206707102511,"B",2
"Cell240",2.73760174358917,4.61949013894153,"B",2
"Cell241",-9.6131151417021,-0.0848218502184203,"B",1
"Cell242",8.18617456886677,1.02788552376823,"B",1
"Cell243",-0.156160509845272,-0.181488922259169,"B",3
"Cell244",-6.84166876154447,1.0603103406027,"B",1
"Cell245",-0.597013938222716,1.18382556129149,"B",3
"Cell246",8.38708020877422,0.964933029242577,"B",1
"Cell247",8.66524628256254,3.20756054639198,"B",1
"Cell248",-0.428405142352731,0.70440453153442,"B",3
"Cell249",4.44402746253923,2.06320878212632,"B",2
"Cell250",0.245679589515537,3.38978154825791,"B",3
"Cell251",-7.69381462199421,1.91562951740625,"B",3
"Cell252",8.64222503730215,2.09802321435155,"B",1
"Cell253",-0.490275416411087,3.07744413046724,"B",1
"Cell254",2.0282439028144,3.59006762264642,"B",2
"Cell255",-0.0423158481058269,3.19339360676557,"B",3
"Cell256",-0.728363252656292,1.48069843753326,"B",3
"Cell257",3.81001809455572,3.72073791029546,"B",2
"Cell258",-7.82180865876246,1.77679983823807,"B",3
"Cell259",-0.537237984175279,2.6302409698193,"B",3
"Cell260",8.6973936574337,2.76738450762469,"B",1
"Cell261",-5.92487625532799,1.40972016819293,"B",1
"Cell262",-5.6029073324357,0.878230587195267,"B",1
"Cell263",1.75930650152349,3.90152463473911,"B",2
"Cell264",2.5684030290171,4.47740507153652,"B",2
"Cell265",2.48031440094966,3.14920149088057,"B",2
"Cell266",-8.14405692739724,1.72554700093118,"B",3
"Cell267",3.83132879833826,3.54291619120586,"B",2
"Cell268",0.215712075941973,0.249502075071756,"B",3
"Cell269",2.51381860461487,4.40099069018723,"B",2
"Cell270",4.02113973554457,2.56711700810309,"B",2
"Cell271",2.70222597039359,4.54714786896731,"B",2
"Cell272",3.06235475653095,4.38682516482079,"B",2
"Cell273",4.37865408793594,2.08180137289912,"B",2
"Cell274",-0.449512152531992,2.82092772525223,"B",3
"Cell275",8.2279643182415,1.00723496037547,"B",1
"Cell276",-7.4987041615141,1.533246743656,"B",3
"Cell277",0.249759395607955,0.496681341078408,"B",3
"Cell278",0.0914235814035396,3.32003093049219,"B",3
"Cell279",2.84669478253443,3.11407068379403,"B",2
"Cell280",0.349796808515988,2.49423466213775,"B",3
"Cell281",-9.62505616195289,0.0410481281024428,"B",1
"Cell282",1.12281500415017,4.71881124563037,"B",2
"Cell283",-0.726508164411457,1.31923952656695,"B",3
"Cell284",-7.80408164937592,1.88482748463319,"B",3
"Cell285",0.970753048956354,4.65784956109566,"B",2
"Cell286",-0.200008503818469,3.16934185859074,"B",3
"Cell287",0.244059400391234,3.40329153860033,"B",3
"Cell288",6.0908167274446,3.87149113892239,"B",1
"Cell289",-7.77964782997503,-0.240609069533241,"B",1
"Cell290",1.88643550324827,4.06410827480379,"B",2
"Cell291",6.39736589362128,3.84496972960884,"B",1
"Cell292",0.146885261589903,1.2486802107437,"B",3
"Cell293",-8.98352749707762,0.941926139442186,"B",3
"Cell294",3.57717493045977,3.9419165096242,"B",2
"Cell295",-9.60395522260787,-0.122658700385123,"B",1
"Cell296",1.18203836733291,4.80675722112959,"B",2
"Cell297",1.03254462842803,4.39564153879529,"B",2
"Cell298",2.04628302614245,4.93575586754056,"B",2
"Cell299",-5.89583563275381,1.50601981021508,"B",1
"Cell300",7.93208303996207,3.60939588523898,"B",1
